,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
295,CLEARDALE,2645,AB,295,1963-01-01|2005-03-01,1964-05-01|2005-03-31
296,CLEARDALE AGDM,32255,AB,296,2003-02-01|2007-11-01,2003-01-01|2021-02-25
297,CLEARWATER,1848,AB,297,1958-01-01|2007-09-01,1958-07-01|2011-09-01
298,CLINE LO,2380,AB,298,1960-01-01|1965-12-01,1960-06-01|1965-09-30
299,CLINE LO,2379,AB,299,1975-01-01|2007-09-01,1975-05-01|2011-09-01
300,COAL VALLEY,2497,AB,300,1980-01-01|1986-12-01,1980-01-01|1986-03-31
301,COALCAMP CREEK,8723,AB,301,2003-04-01|2007-11-01,2003-04-01|2007-11-30
302,COALDALE,2228,AB,302,1957-01-01|1966-12-01,1957-01-01|1966-10-31
303,COALDALE EXP ST,2229,AB,303,1955-01-01|1958-12-01,1955-01-01|1958-12-31
304,COALSPUR,2496,AB,304,1913-01-01|1938-12-01,1913-04-01|1938-10-31
305,COCHRANE,2230,AB,305,1961-01-01|2004-03-01,1961-08-01|2004-03-31
306,COCHRANE BIGHILL CREEK,42443,AB,306,2003-12-01|2007-11-01,2003-12-01|2009-01-04
307,COCHRANE CATHCART,2199,AB,307,1990-01-01|1995-02-01,1990-05-01|1995-02-28
308,COCHRANE VE6CQC,2167,AB,308,1990-01-01|2003-11-01,1990-06-01|2003-11-30
309,CODESA LO,2676,AB,309,1960-01-01|1992-12-01,1960-05-01|1992-06-30
310,COLD CREEK RS,2498,AB,310,1962-01-01|1990-12-01,1962-06-01|1990-04-30
311,COLD LAKE A,2832,AB,311,1953-01-01|2017-12-01,1952-12-01|2021-02-25
312,COLD LAKE SNOW,43164,AB,312,2004-11-01|2007-11-01,2004-10-21|2010-04-08
313,COLEMAN,2381,AB,313,1912-01-01|1997-09-01,1912-10-01|1997-09-30
314,COLEMAN RS,2382,AB,314,1958-01-01|1971-12-01,1958-07-01|1971-03-31
315,COLINTON,6859,AB,315,1992-01-01|2005-07-01,1992-07-01|2005-07-31
316,COLUMBIA ICEFIELD,2383,AB,316,1961-01-01|1994-12-01,1961-07-01|1994-07-31
317,COMPEER,1849,AB,317,1949-01-01|1971-12-01,1949-05-01|1971-07-31
318,COMPRESSION RIDGE,8914,AB,318,1998-04-01|2007-10-01,1998-04-01|2007-10-31
319,CONKLIN,2499,AB,319,1973-01-01|1975-12-01,1972-11-01|1975-03-31
320,CONKLIN LO,2500,AB,320,1954-01-01|2007-09-01,1954-05-01|2011-09-01
321,CONNELLY CREEK,2231,AB,321,1978-01-01|2007-11-01,1978-10-01|2011-12-04
322,CONSORT AGDM,32230,AB,322,2002-12-01|2007-11-01,2002-11-01|2021-02-25
323,CONSORT CDA EPF,1850,AB,323,1956-01-01|1975-12-01,1956-01-01|1975-11-30
324,CONSORT WADES,1851,AB,324,1953-01-01|1971-12-01,1953-11-01|1971-02-28
325,CONTRACOSTA LAKE,1852,AB,325,1983-01-01|2001-05-01,1983-06-01|2001-05-31
326,COOKING LAKE,1853,AB,326,1985-01-01|1994-12-01,1985-11-01|1994-11-30
327,COP UPPER,9010,AB,327,1996-06-01|2007-11-01,1993-06-04|2021-02-15
328,COPTON LO,2677,AB,328,1960-01-01|2007-09-01,1960-07-01|2011-09-01
329,CORONATION,1855,AB,329,1912-01-01|1943-12-01,1912-04-01|1943-09-30
330,CORONATION (AUT),8691,AB,330,1996-10-01|2003-11-01,1992-12-02|2003-11-30
331,CORONATION A,1854,AB,331,1944-01-01|1994-12-01,1944-05-01|1994-04-30
332,CORONATION CLIMATE,27212,AB,332,1996-05-01|2007-11-01,1996-03-01|2021-02-25
333,COUTTS,2334,AB,333,1899-01-01|1973-12-01,1899-04-01|1973-08-31
334,COUTTS EXP ST,2335,AB,334,1959-01-01|1963-12-01,1959-06-01|1963-02-28
335,COWLEY,2232,AB,335,1961-01-01|1975-12-01,1961-03-01|1975-12-31
336,COWLEY A,2233,AB,336,1939-01-01|1960-12-01,1939-02-01|1960-08-31
337,COWLEY CREEBANK RANCH,2234,AB,337,1912-01-01|1941-12-01,1912-10-01|1941-05-31
338,COWLEY OLIN CREEK,2235,AB,338,1961-01-01|2001-06-01,1961-07-01|2001-06-30
339,COWLEY TANNER,31089,AB,339,2001-07-01|2005-07-01,2001-07-01|2008-07-18
340,COWLEY TODD CREEK,2384,AB,340,1980-01-01|1982-12-01,1980-06-01|1982-02-28
341,COWPAR LO,2502,AB,341,1957-01-01|2007-09-01,1957-07-01|2011-09-01
342,COX HILL,8724,AB,342,1998-04-01|2007-10-01,1998-04-01|2007-10-31
343,CRAIGMYLE,2068,AB,343,1954-01-01|2007-11-01,1954-01-01|2018-09-27
344,CRAIGMYLE AGCM,46471,AB,344,2007-08-01|2007-11-01,2007-08-01|2021-02-25
345,CREMONA,2069,AB,345,|,1980-07-01|1980-07-31
346,CRESTOMERE AGCM,47069,AB,346,|,2008-06-05|2021-02-25
347,CROSS CONSERVATION AREA,27015,AB,347,1996-07-01|1996-08-01,1996-07-01|1996-08-31
348,CROSS LAKE,2501,AB,348,1973-01-01|2007-11-01,1973-06-01|2008-02-29
349,CROSS LAKE RS,2487,AB,349,1978-01-01|1986-12-01,1978-07-01|1986-08-31
350,CROSSFIELD,2070,AB,350,1961-01-01|1981-12-01,1961-08-01|1981-10-31
351,CROWE TOWER,2646,AB,351,1984-01-01|1990-12-01,1984-05-01|1990-08-31
352,CROWSNEST,10890,AB,352,1996-06-01|2007-11-01,1993-06-04|2021-02-25
353,CROWSNEST CREEK,10690,AB,353,1998-10-01|2007-11-01,1998-10-01|2007-11-30
354,CUTHEAD LAKE,8819,AB,354,1998-07-01|2007-11-01,1998-06-01|2007-11-30
355,CYNTHIA,2453,AB,355,1969-01-01|1970-12-01,1969-09-01|1970-02-28
356,DAKOTA,1856,AB,356,1963-01-01|1978-12-01,1963-11-01|1978-09-30
357,DAKOTA WEST,1857,AB,357,1963-01-01|2007-11-01,1963-10-01|2016-03-20
358,DAPP,2488,AB,358,1969-01-01|1974-12-01,1969-09-01|1974-06-30
359,DAPP AGDM,31414,AB,359,2001-12-01|2007-11-01,2001-12-01|2021-02-25
360,DARWELL,1834,AB,360,1987-01-01|1992-12-01,1987-12-01|1992-06-30
361,DAVID THOMPSON RESORT,2359,AB,361,1975-01-01|1975-12-01,1975-01-01|1975-07-31
362,DAVIDSON LAKE TOWER,2642,AB,362,1968-01-01|1990-12-01,1968-05-01|1990-08-31
363,DAYSLAND,1795,AB,363,1908-01-01|1922-12-01,1908-02-01|1922-04-30
364,DE WINTON,2236,AB,364,1981-01-01|1982-12-01,1981-06-01|1982-10-31
365,DEADWOOD,2678,AB,365,1961-01-01|1965-12-01,1961-02-01|1965-02-28
366,DEADWOOD AGCM,51839,AB,366,|,2018-05-14|2021-02-25
367,DEADWOOD EXP ST,2679,AB,367,1953-01-01|1955-12-01,1953-06-01|1955-12-31
368,DEADWOOD LO,2680,AB,368,1960-01-01|2007-09-01,1960-09-01|2011-09-22
369,DEADWOOD REINWOOD,2681,AB,369,1973-01-01|1976-12-01,1973-02-01|1976-07-31
370,DEBOLT GOODWIN,31207,AB,370,2001-09-01|2007-11-01,2001-09-01|2013-05-21
371,DEBOLT RS,2682,AB,371,1962-01-01|1984-12-01,1962-05-01|1984-10-31
372,DEER MOUNTAIN LO,2503,AB,372,1960-01-01|2007-09-01,1960-04-01|2011-09-14
373,DEL BONITA,2337,AB,373,1985-01-01|1990-12-01,1985-05-01|1990-02-28
374,DEL BONITA,2336,AB,374,1950-01-01|1956-12-01,1950-04-01|1956-04-30
375,DEL BONITA AGDM,32256,AB,375,2002-11-01|2007-11-01,2002-11-01|2021-02-25
376,DEL BONITA EXP ST,2338,AB,376,1955-01-01|1963-12-01,1955-01-01|1963-03-31
377,DELBURNE AGCM,46730,AB,377,2007-09-01|2007-11-01,2007-09-01|2021-02-25
378,DELIA,2071,AB,378,1911-01-01|1933-12-01,1911-06-01|1933-02-28
379,DEMMITT CDA EPF,2683,AB,379,1969-01-01|1978-12-01,1969-01-01|1978-12-31
380,DEVONA,27713,AB,380,1998-08-01|2007-11-01,1998-08-01|2007-11-30
381,DEWBERRY,1859,AB,381,1987-01-01|2006-04-01,1987-05-01|2006-04-30
382,DEWBERRY AGCM,46731,AB,382,2007-09-01|2007-11-01,2007-09-01|2021-02-25
383,DICKSON DAM,2072,AB,383,1983-01-01|2007-08-01,1983-05-01|2007-11-30
384,DIDSBURY,2073,AB,384,1899-01-01|1919-12-01,1899-04-01|1919-08-31
385,DIDSBURY ELKTON,2074,AB,385,1973-01-01|1977-12-01,1973-05-01|1977-02-28
386,DODDS ROUND HILL,1860,AB,386,1976-01-01|1977-12-01,1975-12-01|1977-10-31
387,DOG POUND,2075,AB,387,1971-01-01|1975-12-01,1971-05-01|1975-10-31
388,DOGRIB CREEK,9611,AB,388,1998-06-01|2007-11-01,1998-06-01|2007-11-30
389,DOIG LO,2684,AB,389,1959-01-01|2007-08-01,1959-05-01|2011-08-23
390,DONALDA SOUTH,30433,AB,390,2000-08-01|2007-11-01,2000-08-01|2016-06-12
391,DONNELLY,2685,AB,391,1982-01-01|2007-11-01,1982-08-01|2008-11-22
392,DOUCETTE LO,2686,AB,392,1956-01-01|1997-08-01,1956-05-01|1997-08-31
393,DOWLING LAKE,2076,AB,393,1983-01-01|1983-12-01,1983-06-01|1983-10-31
394,DRAYTON VALLEY,30056,AB,394,2000-06-01|2005-06-01,2000-06-01|2005-06-30
395,DRAYTON VALLEY,1861,AB,395,1961-01-01|1978-12-01,1961-06-01|1978-10-31
396,DRUMHELLER,2077,AB,396,1923-01-01|1968-12-01,1923-04-01|1968-05-31
397,DRUMHELLER ANDREW,2078,AB,397,1954-01-01|2007-11-01,1954-01-01|2008-03-31
398,DRUMHELLER CITY,2080,AB,398,1974-01-01|1990-12-01,1974-10-01|1990-05-31
399,DRUMHELLER EAST,10708,AB,399,1996-04-01|2007-10-01,1995-10-06|2021-02-25
400,DRUMHELLER INSTITUTION,2079,AB,400,1969-01-01|1975-12-01,1969-06-01|1975-03-31
401,DUCHESS,2081,AB,401,1963-01-01|1979-12-01,1963-07-01|1979-01-31
402,DUCKWORTH FARM,6948,AB,402,1991-01-01|1991-12-01,1991-05-01|1991-06-30
403,DUNKIRK L3,27740,AB,403,2003-08-01|2003-08-01,2003-07-01|2004-09-30
404,DUNVEGAN,2687,AB,404,1880-01-01|1943-12-01,1880-01-01|1943-03-31
405,DUPRE AGCM,47070,AB,405,|,2008-06-05|2021-02-25
406,EAGLE BUTTE,2339,AB,406,1966-01-01|2007-11-01,1966-02-01|2012-09-01
407,EAGLE LAKE PARK,6856,AB,407,1992-01-01|1996-03-01,1992-08-01|1996-03-31
408,EAGLE LO,2504,AB,408,1958-01-01|2007-09-01,1958-06-01|2011-09-01
409,EAGLESHAM,2688,AB,409,1980-01-01|1980-12-01,1980-11-01|1980-11-30
410,EAGLESHAM AGCM,47071,AB,410,|,2008-06-05|2021-02-25
411,EAST BERRY CREEK,2082,AB,411,1982-01-01|1989-12-01,1982-05-01|1989-12-31
412,ECKVILLE,2083,AB,412,1908-01-01|1947-12-01,1907-12-01|1947-12-31
413,ECKVILLE SOUTH,2084,AB,413,1970-01-01|2007-11-01,1970-05-01|2011-05-07
414,ECONOMY LO,2689,AB,414,1953-01-01|2007-09-01,1953-08-01|2011-09-01
415,EDBERG,1862,AB,415,1970-01-01|1975-12-01,1970-05-01|1975-08-31
416,EDGERTON AGCM,46129,AB,416,|,2007-06-27|2021-02-25
417,EDMONTON,1863,AB,417,1880-01-01|1943-12-01,1880-07-01|1943-06-30
418,EDMONTON AB RESEARCH PARK,43149,AB,418,2004-11-01|2006-04-01,2004-10-19|2008-06-18
419,EDMONTON BLATCHFORD,27214,AB,419,1996-03-01|2007-11-01,1996-03-01|2021-02-25
420,EDMONTON CALDER,1864,AB,420,1975-01-01|1977-12-01,1975-06-01|1977-03-31
421,EDMONTON CITY CENTRE A,1867,AB,421,1937-01-01|2005-01-01,1937-10-01|2005-01-31
422,EDMONTON CITY CENTRE AWOS,31427,AB,422,2005-05-01|2007-11-01,2005-01-21|2015-04-01
423,EDMONTON CLOVERBAR,43148,AB,423,2004-11-01|2006-04-01,2004-10-14|2006-04-30
424,EDMONTON CORONATION,1796,AB,424,1978-01-01|1979-12-01,1978-11-01|1979-01-31
425,EDMONTON EER,54718,AB,425,|,|
426,EDMONTON GARRISON,43147,AB,426,2004-11-01|2007-03-01,2004-10-17|2009-01-28
427,EDMONTON INT'L A,1865,AB,427,1959-01-01|2012-04-01,1959-05-01|2012-04-11
428,EDMONTON INTERNATIONAL CS,27793,AB,428,1999-01-01|2007-11-01,1999-01-01|2021-02-25
429,EDMONTON INTL A,50149,AB,429,|,2012-04-12|2021-02-25
430,EDMONTON LYNNWOOD,1866,AB,430,1971-01-01|1976-12-01,1971-05-01|1976-05-31
431,EDMONTON NAMAO A,1868,AB,431,1955-01-01|1996-05-01,1955-11-01|2009-01-31
432,EDMONTON NAMAO AWOS A,30907,AB,432,2001-08-01|2007-11-01,2001-08-01|2021-02-25
433,EDMONTON PLEASANTVIEW,1869,AB,433,1977-01-01|1979-12-01,1977-09-01|1979-11-30
434,EDMONTON SMITH WATER TREATMENT,43150,AB,434,2004-11-01|2007-04-01,2004-10-17|2009-03-22
435,EDMONTON SOUTH CAMPUS,53718,AB,435,|,2018-05-14|2021-02-25
436,EDMONTON STONY PLAIN,1870,AB,436,1966-01-01|2017-12-01,1966-02-01|2021-02-25
437,EDMONTON STONY PLAIN CS,27492,AB,437,1997-04-01|2007-11-01,1997-04-01|2021-02-25
438,EDMONTON TIEBEKE ESTATES,27909,AB,438,1999-08-01|2001-10-01,1999-08-01|2001-10-31
439,EDMONTON VILLENEUVE A,51758,AB,439,|,2013-10-17|2021-02-25
440,EDMONTON VILLENEUVE A,1871,AB,440,1984-01-01|1991-11-01,1984-11-01|1991-09-30
441,EDMONTON WOODBEND,1872,AB,441,1973-01-01|2007-11-01,1973-11-01|2015-11-24
442,EDRA LO,2690,AB,442,1966-01-01|2007-08-01,1966-06-01|2011-08-23
443,EDSON,2506,AB,443,1960-01-01|1970-12-01,1960-02-01|1970-04-30
444,EDSON,48948,AB,444,|,2010-09-23|2021-02-25
445,EDSON,2505,AB,445,1914-01-01|1960-12-01,1914-02-01|1960-01-31
446,EDSON A,2507,AB,446,1970-01-01|1998-06-01,1970-05-01|1998-06-30
447,EDSON A,10793,AB,447,1997-05-01|2007-08-01,1992-12-01|2007-08-31
448,EDSON AWOS A,31588,AB,448,|,2006-01-01|2010-09-23
449,EDSON CLIMATE,27213,AB,449,1996-04-01|2007-11-01,1996-03-01|2021-02-25
450,EGG ISLAND,31027,AB,450,2005-11-01|2007-03-01,2001-06-11|2020-12-09
451,EISENHOWER JUNCTION,2385,AB,451,1965-01-01|1969-12-01,1965-10-01|1969-06-30
452,ELBOW RS,2386,AB,452,1958-01-01|2006-07-01,1958-07-01|2006-07-31
453,ELK ISLAND NAT PARK,1873,AB,453,1981-01-01|2007-11-01,1981-11-01|2021-02-25
454,ELK ISLAND PARK,1874,AB,454,1966-01-01|1975-12-01,1966-03-01|1975-09-30
455,ELK ISLAND SIDING,1875,AB,455,1980-01-01|1982-12-01,1980-05-01|1982-06-30
456,ELK POINT,1876,AB,456,1912-01-01|1997-06-01,1911-01-01|1997-06-30
457,ELK RIVER AFS,27260,AB,457,1996-05-01|2007-09-01,1996-05-01|2011-09-01
458,ELK RIVER ER RS,1877,AB,458,1978-01-01|1978-12-01,1978-04-01|1978-07-31
459,ELLERSLIE,1878,AB,459,1964-01-01|1986-12-01,1964-08-01|1986-12-31
460,ELLS LO,2508,AB,460,1961-01-01|2007-09-01,1961-04-01|2011-09-15
461,ELLSCOTT,1803,AB,461,1986-01-01|1995-09-01,1986-08-01|1995-09-30
462,ELMWORTH,2691,AB,462,1926-01-01|1953-12-01,1926-08-01|1953-04-30
463,ELMWORTH CDA EPF,2692,AB,463,1967-01-01|1972-12-01,1967-10-01|1972-06-30
464,ELMWORTH CDA EPF,2693,AB,464,1975-01-01|2007-11-01,1975-02-01|2008-06-03
465,ELNORA,2085,AB,465,1961-01-01|2003-10-01,1961-07-01|2003-10-31
466,ELNORA SALEM,1879,AB,466,1988-01-01|2001-04-01,1988-08-01|2001-04-30
467,EMBARRAS A,2509,AB,467,1943-01-01|1962-12-01,1943-02-01|1962-09-30
468,EMPRESS,2086,AB,468,1914-01-01|2006-03-01,1914-11-01|2006-03-31
469,EMPRESS DOT,2087,AB,469,1966-01-01|1969-12-01,1966-11-01|1969-12-31
470,ENCHANT,2237,AB,470,1960-01-01|1963-12-01,1960-06-01|1963-03-31
471,ENCHANT AGDM,42724,AB,471,2005-05-01|2007-11-01,2004-06-16|2021-02-25
472,ENDIANG,1880,AB,472,1962-01-01|1964-12-01,1962-10-01|1964-12-31
473,ENILDA LO,2510,AB,473,1970-01-01|2007-09-01,1970-06-01|2011-09-29
474,ENILDA-BERG,27333,AB,474,1997-08-01|2005-04-01,1997-08-01|2005-04-30
475,ENTRANCE,2511,AB,475,1917-01-01|2006-07-01,1917-06-01|2006-07-31
476,ENTRANCE RS,2512,AB,476,1968-01-01|1971-12-01,1968-02-01|1971-07-31
477,ENTWISTLE,2513,AB,477,1987-01-01|2007-11-01,1987-09-01|2021-02-25
478,ESTHER,2088,AB,478,1980-01-01|2000-09-01,1980-08-01|2000-09-30
479,ESTHER 1,10225,AB,479,1996-05-01|2007-11-01,1993-06-04|2021-02-25
480,ESTHER PRATT,29946,AB,480,2000-05-01|2003-05-01,2000-05-01|2003-05-31
481,ETA LAKE,2457,AB,481,1989-01-01|2007-08-01,1989-06-01|2011-09-01
482,ETZIKOM AGCM,46732,AB,482,2007-09-01|2007-11-01,2007-09-01|2021-02-25
483,EUREKA RIVER,2694,AB,483,1962-01-01|2007-11-01,1962-03-01|2008-04-30
484,EVANS THOMAS,8919,AB,484,1998-04-01|2007-11-01,1998-04-01|2007-11-30
485,EVANSBURG AGCM,47072,AB,485,|,2008-06-05|2016-02-15
486,EVANSBURG CDA EPF,2514,AB,486,1954-01-01|1964-12-01,1962-01-01|1964-04-30
487,EVANSBURG2 AGCM,54358,AB,487,|,2016-01-21|2021-02-25
488,EVARTS,2089,AB,488,1963-01-01|1972-12-01,1963-08-01|1972-08-31
489,EXCEL,2090,AB,489,1955-01-01|1961-12-01,1955-10-01|1967-02-28
490,EXSHAW,2387,AB,490,1928-01-01|1945-12-01,1928-06-01|1945-09-30
491,FABYAN,1881,AB,491,1966-01-01|2007-11-01,1966-08-01|2021-02-13
492,FAIRVIEW,2695,AB,492,1931-01-01|1991-12-01,1931-10-01|1991-12-31
493,FAIRVIEW 2,2696,AB,493,1957-01-01|1960-12-01,1957-01-01|1960-08-31
494,FAIRVIEW AGDM,31469,AB,494,2002-02-01|2007-11-01,2002-02-01|2021-02-25
495,FAIRVIEW FSA,2697,AB,495,1956-01-01|1980-12-01,1956-09-01|1980-09-30
496,FAIRVIEW THREE FOX FARM,6862,AB,496,1993-01-01|1999-12-01,1993-06-01|1999-12-31
497,FALHER,2698,AB,497,1948-01-01|1979-12-01,1948-12-01|1979-09-30
498,FALLEN TIMBER,8825,AB,498,1998-04-01|2007-11-01,1998-04-01|2007-11-30
499,FALLIS,1802,AB,499,1987-01-01|1991-11-01,1987-06-01|1991-03-31
500,FALSE NICHOLAS,27650,AB,500,2002-03-01|2006-08-01,1998-12-01|2007-11-30
501,FERINTOSH AGCM,46733,AB,501,2007-09-01|2007-11-01,2007-09-01|2021-02-25
502,FINCASTLE AGDM,42727,AB,502,2004-06-01|2007-11-01,2004-06-01|2021-02-25
503,FINNEGAN,2091,AB,503,1970-01-01|1975-12-01,1970-06-01|1975-02-28
504,FINNEGAN AGCM,52459,AB,504,|,2018-05-14|2021-02-25
505,FISH CREEK,2699,AB,505,1970-01-01|1974-12-01,1970-03-01|1974-12-31
506,FIVE LAKES,1882,AB,506,1911-01-01|1933-12-01,1911-05-01|1934-02-28
507,FIVE MILE CREEK,2239,AB,507,1985-01-01|2007-11-01,1985-07-01|2008-02-10
508,FLATTOP LO,2515,AB,508,1959-01-01|2007-08-01,1959-07-01|2011-09-29
509,FLEET,1797,AB,509,1987-01-01|1990-12-01,1987-05-01|1990-09-30
510,FLEET AGCM,51502,AB,510,|,2018-05-14|2021-02-25
511,FLORANN,2330,AB,511,1986-01-01|1990-12-01,1986-07-01|1990-10-31
512,FOGGY LO,2700,AB,512,1967-01-01|2007-09-01,1967-05-01|2011-09-01
513,FONTAS LO,2701,AB,513,1965-01-01|2007-08-01,1965-04-01|2011-08-22
514,FOOTNER LAKE HQ,2702,AB,514,1967-01-01|1969-12-01,1967-05-01|1969-09-30
515,FOREMOST,2240,AB,515,1915-01-01|2005-03-01,1915-08-01|2005-03-31
516,FOREMOST AGDM,32257,AB,516,2002-12-01|2007-11-01,2002-12-01|2021-02-25
517,FOREMOST EAST,2241,AB,517,1970-01-01|1972-12-01,1970-05-01|1972-11-30
518,FOREMOST EXP ST,2242,AB,518,1954-01-01|1960-12-01,1954-01-01|1960-07-31
519,FORESTBURG,1883,AB,519,1966-01-01|1969-12-01,1966-02-01|1969-04-30
520,FORESTBURG AGCM,46130,AB,520,|,2007-06-27|2021-02-25
521,FORESTBURG PLANT SITE,1884,AB,521,1967-01-01|2007-10-01,1967-08-01|2020-06-29
522,FORGET ME NOT LO,2388,AB,522,1962-01-01|1975-12-01,1962-07-01|1975-08-31
523,FORGET ME NOT MOUNTAIN,8824,AB,523,1998-04-01|2007-11-01,1998-02-01|2007-11-30
524,FORT ASSINIBOINE,2458,AB,524,1969-01-01|1997-11-01,1969-08-01|1997-11-30
525,FORT ASSINIBOINE 2,27331,AB,525,1997-08-01|2007-11-01,1997-08-01|2008-03-31
526,FORT ASSINIBOINE AGCM,47128,AB,526,|,2008-06-05|2021-02-25
527,FORT ASSINIBOINE RS,2517,AB,527,1983-01-01|2007-10-01,1983-11-01|2008-10-31
528,FORT ASSINIBOINE RS,2516,AB,528,1963-01-01|1965-12-01,1963-04-01|1965-09-30
529,FORT CHIPEWYAN,48975,AB,529,|,2011-06-30|2021-02-25
530,FORT CHIPEWYAN,2703,AB,530,1883-01-01|1967-12-01,1883-10-01|1967-10-31
531,FORT CHIPEWYAN,10655,AB,531,|,|
532,FORT CHIPEWYAN A,2704,AB,532,1967-01-01|2007-08-01,1967-11-01|2007-08-31
533,FORT CHIPEWYAN AWOS A,31608,AB,533,|,2006-01-01|2011-06-30
534,FORT CHIPEWYAN RCS,50757,AB,534,|,2012-10-19|2021-02-25
535,FORT EDMONTON,1885,AB,535,1976-01-01|1986-12-01,1976-01-01|1986-07-31
536,FORT KENT CDA EPF,2833,AB,536,1954-01-01|1965-12-01,1954-10-01|1965-02-28
537,FORT MACKAY RS,2518,AB,537,1964-01-01|1994-12-01,1964-07-01|1994-09-30
538,FORT MACLEOD,2243,AB,538,1877-01-01|1988-12-01,1876-06-01|1988-03-31
539,FORT MACLEOD AGCM,46734,AB,539,2007-09-01|2007-11-01,2007-09-01|2021-02-25
540,FORT MACLEOD EXP ST,2244,AB,540,1955-01-01|1962-12-01,1955-01-01|1962-12-31
541,FORT MACLEOD EXP ST 2,2245,AB,541,1955-01-01|1963-12-01,1955-01-01|1963-03-31
542,FORT MACLEOD NORTH,2238,AB,542,1965-01-01|1994-12-01,1965-11-01|1994-06-30
543,FORT MACLEOD STAND OFF,2246,AB,543,1961-01-01|1975-12-01,1961-07-01|1975-05-31
544,FORT MCMURRAY A,49490,AB,544,|,2011-10-20|2021-02-25
545,FORT MCMURRAY A,2519,AB,545,1944-01-01|2007-11-01,1944-01-01|2008-07-24
546,FORT MCMURRAY AWOS A,31288,AB,546,|,2008-07-03|2011-10-20
547,FORT MCMURRAY CS,27216,AB,547,1996-05-01|2007-11-01,1996-05-01|2021-02-25
548,FORT SASKATCHEWAN,1886,AB,548,1958-01-01|2007-11-01,1958-03-01|2021-02-25
549,FORT VERMILION,2705,AB,549,1888-01-01|1917-12-01,1888-11-01|1917-11-30
550,FORT VERMILION,30495,AB,550,2000-12-01|2007-11-01,2000-09-29|2021-02-25
551,FORT VERMILION,2707,AB,551,1963-01-01|1963-12-01,1963-03-01|1963-12-31
552,FORT VERMILION CDA,2706,AB,552,1908-01-01|1985-12-01,1908-07-01|1985-09-30
553,FORT VERMILION RS,2708,AB,553,1962-01-01|1989-12-01,1962-05-01|1989-08-31
554,FORTRESS MOUNTAIN,2389,AB,554,1975-01-01|1975-12-01,1974-12-01|1975-04-30
555,FOX CREEK,2709,AB,555,1973-01-01|1973-12-01,1973-03-01|1973-05-31
556,FOX CREEK JUNCTION,6860,AB,556,1991-01-01|2007-11-01,1991-06-01|2012-07-30
557,FOX CREEK RS,2710,AB,557,1966-01-01|1999-10-01,1966-05-01|1999-10-31
558,FREEMAN RIVER,2454,AB,558,1989-01-01|2007-09-01,1989-06-01|2011-09-01
559,FRISCO,1887,AB,559,1966-01-01|1969-12-01,1966-07-01|1969-06-30
560,FROG LAKE RS,1888,AB,560,1975-01-01|1976-12-01,1975-01-01|1976-10-31
561,FT MCMURRAY,2520,AB,561,1908-01-01|1944-12-01,1908-06-01|1944-11-30
562,FURMAN CLARESHOLM,2390,AB,562,1958-01-01|1965-12-01,1958-10-01|1965-07-31
563,GADSBY,1889,AB,563,1953-01-01|1956-12-01,1953-10-01|1956-08-31
564,GAINFORD,1890,AB,564,1970-01-01|1970-12-01,1970-11-01|1970-11-30
565,GARDEN RIVER,2711,AB,565,1973-01-01|1974-12-01,1973-08-01|1974-03-31
566,GARDEN RIVER,10932,AB,566,1996-03-01|2007-10-01,1993-11-03|2020-11-21
567,GARDINER CREEK,8916,AB,567,1998-04-01|2007-07-01,1998-02-01|2007-07-31
568,GEM,2092,AB,568,1989-01-01|2007-11-01,1989-11-01|2009-10-30
569,GENESEE,1891,AB,569,1974-01-01|1975-12-01,1974-07-01|1975-03-31
570,GHOST DIVERSION,8920,AB,570,1998-04-01|2007-11-01,1998-04-01|2007-11-30
571,GHOST PINE CREEK,2093,AB,571,1979-01-01|1993-12-01,1979-05-01|1993-05-31
572,GHOST RS,2391,AB,572,1958-01-01|1996-09-01,1958-07-01|1996-09-30
573,GIBBONS,1858,AB,573,1983-01-01|2002-09-01,1983-11-01|2002-09-30
574,GIFT LAKE LO,2712,AB,574,1989-01-01|2007-09-01,1989-05-01|2011-09-29
575,GILT EDGE NORTH AGCM,46131,AB,575,|,2007-06-27|2021-02-25
576,GLADSTONE AGCM,51501,AB,576,|,2018-05-14|2021-02-25
577,GLASSFORD,2340,AB,577,1925-01-01|1937-12-01,1925-06-01|1937-06-30
578,GLEICHEN,2247,AB,578,1903-01-01|2006-03-01,1903-01-01|2006-03-31
579,GLEICHEN AGCM,47073,AB,579,|,2008-06-06|2021-02-25
580,GLENDON,2834,AB,580,1936-01-01|1947-12-01,|
581,GLENEVIS,1892,AB,581,1966-01-01|1987-12-01,1966-06-01|1987-12-31
582,GLENEVIS AGCM,47074,AB,582,|,2008-06-05|2021-02-25
583,GLENWOOD,45748,AB,583,2007-03-01|2007-06-01,2007-03-01|2021-02-25
584,GLENWOODVILLE EXP ST,2248,AB,584,1926-01-01|1963-12-01,1926-04-01|1963-03-31
585,GOAT'S EYE,27716,AB,585,2001-11-01|2002-04-01,1998-10-01|2007-05-31
586,GOLDEN VALLEY,1798,AB,586,1987-01-01|1998-11-01,1987-05-01|1998-11-30
587,GOODFARE CDA EPF,2714,AB,587,1929-01-01|1978-12-01,1929-04-01|1978-11-30
588,GOODRIDGE RS,1893,AB,588,1977-01-01|1987-12-01,1977-04-01|1987-06-30
